Date, Open, High, Low, Close, Volume
08/12/21, 28.20, 28.22, 27.95, 28.02, 19014070
08/11/21, 28.08, 28.22, 28.02, 28.16, 20500680
08/10/21, 27.82, 28.11, 27.77, 28.09, 22260381
08/09/21, 27.97, 28.00, 27.81, 27.85, 25196010
08/06/21, 27.91, 28.09, 27.91, 27.96, 23083580
08/05/21, 27.87, 28.01, 27.86, 27.94, 21025520
08/04/21, 28.04, 28.12, 27.81, 27.85, 29441180
08/03/21, 28.08, 28.25, 27.91, 28.19, 28687711
08/02/21, 28.24, 28.55, 28.03, 28.11, 32542779
07/30/21, 28.37, 28.40, 28.01, 28.05, 37502238
07/29/21, 28.19, 28.45, 28.11, 28.29, 31819471
07/28/21, 28.15, 28.29, 27.86, 28.01, 31774820
07/27/21, 28.01, 28.395, 27.88, 28.20, 34185340
07/26/21, 28.08, 28.24, 28.01, 28.18, 36556000
07/23/21, 27.97, 28.207, 27.935, 28.15, 30234131
07/22/21, 28.26, 28.35, 27.74, 28.01, 36936980
07/21/21, 28.08, 28.30, 27.85, 27.90, 30814330
07/20/21, 27.71, 28.18, 27.65, 27.91, 34763191
07/19/21, 28.11, 28.20, 27.50, 27.79, 57679273
07/16/21, 28.50, 28.63, 28.30, 28.34, 26188221
07/15/21, 28.24, 28.50, 28.205, 28.43, 27267949
07/14/21, 28.26, 28.36, 28.16, 28.26, 31965881
07/13/21, 28.48, 28.62, 28.22, 28.27, 29026580
07/12/21, 28.34, 28.58, 28.23, 28.48, 26879900
07/09/21, 28.25, 28.5375, 28.24, 28.45, 34150160
07/08/21, 28.27, 28.37, 28.09, 28.18, 40019191
07/07/21, 29.03, 29.07, 28.86, 28.93, 33598449
07/06/21, 29.28, 29.33, 28.95, 29.02, 40206641
07/02/21, 29.11, 29.35, 29.10, 29.23, 28686359
07/01/21, 28.89, 29.22, 28.86, 29.11, 26395471
06/30/21, 28.66, 28.86, 28.65, 28.78, 32948480
06/29/21, 28.80, 29.04, 28.65, 28.66, 32262770
06/28/21, 28.91, 28.91, 28.75, 28.78, 27094850
06/25/21, 28.70, 28.95, 28.66, 28.89, 27975340
06/24/21, 28.71, 28.84, 28.61, 28.79, 35878559
06/23/21, 28.80, 28.92, 28.64, 28.65, 23776221
06/22/21, 28.94, 29.00, 28.77, 28.78, 31362699
06/21/21, 28.72, 28.95, 28.67, 28.93, 33607020
06/18/21, 28.63, 28.765, 28.41, 28.65, 65706195
06/17/21, 29.04, 29.1467, 28.71, 28.74, 35712449
06/16/21, 29.28, 29.34, 28.99, 29.06, 30401410
06/15/21, 29.06, 29.30, 29.04, 29.28, 26212500
06/14/21, 29.23, 29.275, 28.96, 29.09, 27195070
06/11/21, 29.22, 29.35, 29.13, 29.32, 31090600
06/10/21, 29.01, 29.29, 29.00, 29.18, 34757762
06/09/21, 28.95, 29.18, 28.88, 29.01, 29228141
06/08/21, 29.03, 29.04, 28.725, 28.98, 61779961
06/07/21, 29.30, 29.33, 29.01, 29.08, 33090840
06/04/21, 29.24, 29.34, 29.19, 29.27, 34160199
06/03/21, 29.46, 29.565, 29.19, 29.23, 45912512
06/02/21, 29.30, 29.64, 29.15, 29.61, 40032953
06/01/21, 29.46, 29.525, 29.22, 29.32, 39397488
05/28/21, 29.71, 29.71, 29.37, 29.43, 40929992
05/27/21, 29.65, 29.90, 29.57, 29.71, 47450090
05/26/21, 29.50, 29.64, 29.38, 29.55, 33055738
05/25/21, 29.71, 29.75, 29.23, 29.52, 58376820
05/24/21, 30.05, 30.16, 29.73, 29.75, 47598367
05/21/21, 30.01, 30.24, 29.86, 30.01, 74587875
05/20/21, 29.01, 29.70, 28.91, 29.64, 81940203
05/19/21, 29.05, 29.18, 28.67, 28.96, 122635906
05/18/21, 29.88, 30.00, 28.89, 29.55, 247052406
05/17/21, 33.51, 33.88, 31.24, 31.37, 169179812
05/14/21, 32.33, 32.55, 32.22, 32.24, 21181779
05/13/21, 31.83, 32.355, 31.66, 32.21, 27068410
05/12/21, 32.15, 32.295, 31.93, 31.97, 31482141
05/11/21, 32.49, 32.67, 32.08, 32.26, 33399781
05/10/21, 32.33, 32.90, 32.26, 32.63, 40983551
05/07/21, 32.20, 32.36, 32.06, 32.16, 28950199
05/06/21, 32.04, 32.42, 31.71, 32.41, 29120869
05/05/21, 32.01, 32.18, 31.81, 32.03, 31673688
05/04/21, 31.60, 32.08, 31.55, 32.02, 51888680
05/03/21, 31.78, 31.85, 31.465, 31.50, 37454113
04/30/21, 31.36, 31.43, 31.05, 31.41, 31332609
04/29/21, 31.13, 31.53, 31.11, 31.34, 38477922
04/28/21, 30.97, 31.15, 30.90, 30.96, 28091350
04/27/21, 30.84, 30.88, 30.63, 30.77, 33392199
04/26/21, 31.38, 31.38, 30.89, 30.91, 45461320
04/23/21, 31.48, 31.71, 31.40, 31.40, 40369340
04/22/21, 31.30, 31.89, 31.15, 31.36, 108523102
04/21/21, 29.96, 30.235, 29.905, 30.11, 34357367
04/20/21, 29.97, 30.02, 29.85, 29.89, 27038680
04/19/21, 30.00, 30.075, 29.81, 29.99, 29788529
04/16/21, 29.91, 30.03, 29.84, 29.95, 30163100
04/15/21, 29.78, 29.84, 29.68, 29.75, 26490820
04/14/21, 29.60, 29.795, 29.30, 29.73, 31287891
04/13/21, 29.86, 29.86, 29.51, 29.63, 41385398
04/12/21, 30.01, 30.16, 29.90, 29.96, 24858830
04/09/21, 30.05, 30.19, 29.91, 30.04, 33316750
04/08/21, 30.30, 30.34, 29.93, 30.00, 49877422
04/07/21, 31.01, 31.15, 30.80, 30.93, 40650512
04/06/21, 30.71, 30.98, 30.69, 30.98, 33666434
04/05/21, 30.62, 30.84, 30.60, 30.71, 38517301
04/01/21, 30.24, 30.48, 30.03, 30.47, 32476990
03/31/21, 30.65, 30.65, 30.20, 30.27, 45302859
03/30/21, 30.61, 30.74, 30.395, 30.73, 35132969
03/29/21, 30.40, 30.6457, 30.22, 30.56, 37277320
03/26/21, 30.28, 30.60, 30.075, 30.31, 62974500
03/25/21, 30.00, 30.185, 29.81, 30.08, 37010461
03/24/21, 29.98, 30.29, 29.97, 29.99, 33537449
03/23/21, 29.95, 30.265, 29.81, 30.00, 36918961
03/22/21, 29.78, 30.01, 29.58, 29.99, 31364039
03/19/21, 30.01, 30.06, 29.62, 29.76, 73685594
03/18/21, 30.07, 30.50, 29.99, 30.01, 31298170
03/17/21, 30.12, 30.23, 29.81, 30.15, 39940602
03/16/21, 29.75, 30.04, 29.69, 29.99, 37999809
